"","iso2c","country","SH.DYN.AIDS.ZS","year"
"1","BW","Botswana",23,2012
"2","BW","Botswana",23.4,2011
"3","BW","Botswana",23.7,2010
"4","BW","Botswana",24.1,2009
"5","BW","Botswana",24.5,2008
"6","BW","Botswana",24.8,2007
"7","BW","Botswana",25.2,2006
"8","BW","Botswana",25.7,2005
"9","BW","Botswana",26.2,2004
"10","BW","Botswana",26.9,2003
"11","BW","Botswana",27.6,2002
"12","BW","Botswana",28.1,2001
"13","BW","Botswana",28.2,2000
"14","BW","Botswana",27.8,1999
"15","BW","Botswana",26.8,1998
"16","BW","Botswana",25.2,1997
"17","BW","Botswana",22.8,1996
"18","BW","Botswana",19.9,1995
"19","BW","Botswana",16.4,1994
"20","BW","Botswana",12.8,1993
"21","BW","Botswana",9.4,1992
"22","BW","Botswana",6.5,1991
"23","BW","Botswana",4.3,1990
"24","LS","Lesotho",23.1,2012
"25","LS","Lesotho",23.1,2011
"26","LS","Lesotho",23,2010
"27","LS","Lesotho",22.9,2009
"28","LS","Lesotho",22.7,2008
"29","LS","Lesotho",22.5,2007
"30","LS","Lesotho",22.5,2006
"31","LS","Lesotho",22.7,2005
"32","LS","Lesotho",23,2004
"33","LS","Lesotho",23.3,2003
"34","LS","Lesotho",23.5,2002
"35","LS","Lesotho",23.4,2001
"36","LS","Lesotho",22.9,2000
"37","LS","Lesotho",21.9,1999
"38","LS","Lesotho",20.3,1998
"39","LS","Lesotho",18,1997
"40","LS","Lesotho",15,1996
"41","LS","Lesotho",11.5,1995
"42","LS","Lesotho",8.2,1994
"43","LS","Lesotho",5.3,1993
"44","LS","Lesotho",3.1,1992
"45","LS","Lesotho",1.7,1991
"46","LS","Lesotho",0.8,1990
"47","SZ","Swaziland",26.5,2012
"48","SZ","Swaziland",26.5,2011
"49","SZ","Swaziland",26.2,2010
"50","SZ","Swaziland",26.1,2009
"51","SZ","Swaziland",25.9,2008
"52","SZ","Swaziland",25.8,2007
"53","SZ","Swaziland",25.6,2006
"54","SZ","Swaziland",25.6,2005
"55","SZ","Swaziland",25.5,2004
"56","SZ","Swaziland",25.4,2003
"57","SZ","Swaziland",25.2,2002
"58","SZ","Swaziland",24.8,2001
"59","SZ","Swaziland",24.3,2000
"60","SZ","Swaziland",23.3,1999
"61","SZ","Swaziland",21.8,1998
"62","SZ","Swaziland",19.8,1997
"63","SZ","Swaziland",17.1,1996
"64","SZ","Swaziland",13.7,1995
"65","SZ","Swaziland",10.1,1994
"66","SZ","Swaziland",6.6,1993
"67","SZ","Swaziland",3.8,1992
"68","SZ","Swaziland",1.9,1991
"69","SZ","Swaziland",0.8,1990
"70","ZA","South Africa",17.9,2012
"71","ZA","South Africa",17.8,2011
"72","ZA","South Africa",17.6,2010
"73","ZA","South Africa",17.6,2009
"74","ZA","South Africa",17.5,2008
"75","ZA","South Africa",17.3,2007
"76","ZA","South Africa",17.2,2006
"77","ZA","South Africa",17.1,2005
"78","ZA","South Africa",16.9,2004
"79","ZA","South Africa",16.6,2003
"80","ZA","South Africa",16.1,2002
"81","ZA","South Africa",15.3,2001
"82","ZA","South Africa",14.1,2000
"83","ZA","South Africa",12.6,1999
"84","ZA","South Africa",10.8,1998
"85","ZA","South Africa",8.8,1997
"86","ZA","South Africa",6.7,1996
"87","ZA","South Africa",4.8,1995
"88","ZA","South Africa",3.1,1994
"89","ZA","South Africa",1.9,1993
"90","ZA","South Africa",1,1992
"91","ZA","South Africa",0.5,1991
"92","ZA","South Africa",0.2,1990
"93","ZW","Zimbabwe",14.7,2012
"94","ZW","Zimbabwe",14.9,2011
"95","ZW","Zimbabwe",15,2010
"96","ZW","Zimbabwe",15.2,2009
"97","ZW","Zimbabwe",15.7,2008
"98","ZW","Zimbabwe",16.4,2007
"99","ZW","Zimbabwe",17.3,2006
"100","ZW","Zimbabwe",18.4,2005
"101","ZW","Zimbabwe",19.8,2004
"102","ZW","Zimbabwe",21.3,2003
"103","ZW","Zimbabwe",22.8,2002
"104","ZW","Zimbabwe",24.3,2001
"105","ZW","Zimbabwe",25.7,2000
"106","ZW","Zimbabwe",26.8,1999
"107","ZW","Zimbabwe",27.5,1998
"108","ZW","Zimbabwe",27.6,1997
"109","ZW","Zimbabwe",27.1,1996
"110","ZW","Zimbabwe",25.8,1995
"111","ZW","Zimbabwe",23.7,1994
"112","ZW","Zimbabwe",21,1993
"113","ZW","Zimbabwe",17.7,1992
"114","ZW","Zimbabwe",14.2,1991
"115","ZW","Zimbabwe",10.7,1990
